,Unique_Id,Location,Tansaction_Type,Property_Type,Address,Bedrooms,Bathrooms,Price,Description,Listing_Date,Agent,Listing_Source,listing_URL
0,TW6R00001ZP,TW6,Rent,"Orchard Avenue, Feltham, Greater London TW14",3 bed semi-detached house to rent,3,2,"£2,500 pcm","Galaxy Real Estate presents to the market a 3 bedroom semidetatched house located in Feltham, TW14. Situated in a serene residential neighbourhood ...",Listed on 23rd May 2023,,Zoopla,https://www.zoopla.co.uk/to-rent/property/tw6/?price_frequency=per_month&q=TW6&search_source=home
1,TW6R00002ZP,TW6,Rent,"Staines, Surrey TW14",2 bed flat to rent,2,1,"£1,700 pcm","* no deposit option * This Lovely Two Bedroom Apartment in Bedfont is in a highly sought after area. This spacious home is available unfurnished, ...",Available immediately,,Zoopla,https://www.zoopla.co.uk/to-rent/property/tw6/?price_frequency=per_month&q=TW6&search_source=home
2,TW6R00003ZP,TW6,Rent,"High Street, Staines TW19",1 bed flat to rent,1,1,"£1,250 pcm",*available now* A one-bedroom ground level apartment that has recently undergone renovations and a backyard. The property is being provided fully ...,Listed on 23rd May 2023,,Zoopla,https://www.zoopla.co.uk/to-rent/property/tw6/?price_frequency=per_month&q=TW6&search_source=home
3,TW6R00004ZP,TW6,Rent,"Clare Road, Stanwell, Spelthorne TW19",1 bed flat to rent,1,1,"£1,250 pcm","Located in the heart of Stanwell with direct links to Heathrow Airport, we have a 1 bedroom flat available to rent, with a large open plan and ...",Available from 9th Jun 2023,,Zoopla,https://www.zoopla.co.uk/to-rent/property/tw6/?price_frequency=per_month&q=TW6&search_source=home
4,TW6R00005ZP,TW6,Rent,"Cains Lane, Feltham TW14",2 bed flat to rent,2,1,"£1,600 pcm","We are proud to offer this delightful 2-bedroom, 2 bathrooms flat in a great location. All newly refurbished to high standards, Fully completed ...",Listed on 22nd May 2023,,Zoopla,https://www.zoopla.co.uk/to-rent/property/tw6/?price_frequency=per_month&q=TW6&search_source=home
5,TW6R00006ZP,TW6,Rent,"Dudley Place, Stanwell, Staines-Upon-Thames TW19",1 bed flat to rent,1,1,£995 pcm,Well presented and spacious one bedroom apartment in popular purpose built development ideally located for heathrow airport & local motorway ...,Available immediately,,Zoopla,https://www.zoopla.co.uk/to-rent/property/tw6/?price_frequency=per_month&q=TW6&search_source=home
6,TW6R00007ZP,TW6,Rent,"Shackleton Court, Whitley Close, Stanwell, Surrey TW19",Studio to rent,1,1,£895 pcm,"Studio Apartment located in Stanwell Village with easy access to all local amenities, bus routes and in close proximity to London Heathrow ...",Listed on 19th May 2023,,Zoopla,https://www.zoopla.co.uk/to-rent/property/tw6/?price_frequency=per_month&q=TW6&search_source=home
7,TW6R00008ZP,TW6,Rent,"Bensington Court, Bedfont, Feltham TW14",3 bed flat to rent,3,3,"£1,700 pcm","Part Furnished immaculate three bed room ground floor flat with Private Garden, additional Communal Garden with Secured Electric gate Private ...",Available from 1st Jun 2023,,Zoopla,https://www.zoopla.co.uk/to-rent/property/tw6/?price_frequency=per_month&q=TW6&search_source=home
8,TW6R00009ZP,TW6,Rent,"Wooldridge Close, Feltham, Middlesex TW14",2 bed flat to rent,2,1,"£1,600 pcm",Property Ref: 5651 99home are pleased to market this ground floor flat. Two-bedroom flat in a quiet location in Bedfont ...,Listed on 18th May 2023,,Zoopla,https://www.zoopla.co.uk/to-rent/property/tw6/?price_frequency=per_month&q=TW6&search_source=home
9,TW6R00010ZP,TW6,Rent,"Long Lane, Stanwell TW19",2 bed cottage to rent,2,1,"£1,600 pcm",Unfurnished: Kings is pleased to present to the market this beautifully presented two bedroom cottage which has been completely refurbished ...,Available from 31st May 2023,,Zoopla,https://www.zoopla.co.uk/to-rent/property/tw6/?price_frequency=per_month&q=TW6&search_source=home
