,Unique_Id,Location,Tansaction_Type,Property_Type,Address,Bedrooms,Bathrooms,Price,Description,Listing_Date,Agent,Listing_Source,listing_URL
0,BR2S00001ZP,BR2,Sales,"Shortlands Road, Shortlands, Bromley BR2",2 bed flat for sale,2,1,"£450,000","Offered to the market chain free and located just 0.2 miles to Shortlands Station, is this larger than average two bedroom first floor maisonette ...",Listed on 26th May 2023,Langford Russell - Beckenham,Zoopla,https://www.zoopla.co.uk/for-sale/property/br2/?q=BR2&search_source=home
1,BR2S00002ZP,BR2,Sales,"Albert Road, Bromley BR2",3 bed semi-detached house for sale,3,1,"£575,000","*** open day Saturday 3rd June 11AM -1PM by appointment only *** Charming, beautifully presented, three-bedroom semi-detached Victorian home, ...",Available immediately,Homezone,Zoopla,https://www.zoopla.co.uk/for-sale/property/br2/?q=BR2&search_source=home
2,BR2S00003ZP,BR2,Sales,"Land Rear Of 59 Durham Road, Bromley, Kent BR2",Land for sale,2,3,"£20,000","Online Auction, including Freehold Parcel Of Land Please note, following the Governments advice, lots are now being offered via our online ...",Listed on 26th May 2023,Clive Emson Auctioneers,Zoopla,https://www.zoopla.co.uk/for-sale/property/br2/?q=BR2&search_source=home
3,BR2S00004ZP,BR2,Sales,"Homesdale Road, Bromley BR2",Studio for sale,3,2,"£90,000","Retirement development in Bromley, specifically designed for independent living for those over the age of 60. Overlooking the beautiful communal ...",Listed on 25th May 2023,Your Move - Bromley,Zoopla,https://www.zoopla.co.uk/for-sale/property/br2/?q=BR2&search_source=home
4,BR2S00005ZP,BR2,Sales,"Addison Road, Bromley BR2",2 bed terraced house for sale,4,2,"£450,000",**chain free** Offered to the market is this 2-bed mid terrace Victorian property located in the ever popular Chatterton Village area which boasts ...,Listed on 25th May 2023,Sinclair Hammelton - Bromley Sales,Zoopla,https://www.zoopla.co.uk/for-sale/property/br2/?q=BR2&search_source=home
5,BR2S00006ZP,BR2,Sales,"Montcalm Close, Bromley BR2",3 bed semi-detached house for sale,3,2,"£750,000",Excellent sized three bedroom semi detached home set in a quiet close - the property is set on a corner plot and has been extended - downstairs ...,Listed on 25th May 2023,Sinclair Hammelton,Zoopla,https://www.zoopla.co.uk/for-sale/property/br2/?q=BR2&search_source=home
6,BR2S00007ZP,BR2,Sales,"Eastry Avenue, Bromley BR2",4 bed semi-detached house for sale,3,1,"£800,000","Impressive four bedroom semi detached - situated within a short walk from woodland, parks and excellent walks - catchment for schools including ...",Listed on 25th May 2023,Sinclair Hammelton,Zoopla,https://www.zoopla.co.uk/for-sale/property/br2/?q=BR2&search_source=home
7,BR2S00008ZP,BR2,Sales,"The Knoll, Hayes, Kent BR2",3 bed semi-detached house for sale,3,1,"£950,000",Three/Four bedroom home set in a sought after road - Catchment for Hayes primary and secondary schools - extended and open planned kitchen/dining ...,Listed on 25th May 2023,Sinclair Hammelton,Zoopla,https://www.zoopla.co.uk/for-sale/property/br2/?q=BR2&search_source=home
8,BR2S00009ZP,BR2,Sales,"Cowper Road, Bromley BR2",3 bed terraced house for sale,3,1,"£475,000","Occupying a quiet street just moments from the many amenities of Chatterton Village, this attractive yellow-brick late-Victorian terrace makes an ...",Listed on 25th May 2023,Oliver Jaques,Zoopla,https://www.zoopla.co.uk/for-sale/property/br2/?q=BR2&search_source=home
9,BR2S00010ZP,BR2,Sales,"Addison Road, Bromley BR2",3 bed semi-detached house for sale,1,1,"£525,000","Guide Price £525,000 - £550,000 Introducing to the market this well maintained three bedroom semi-detached house in Addison Road, a period home ...",Listed on 24th May 2023,The Agency UK,Zoopla,https://www.zoopla.co.uk/for-sale/property/br2/?q=BR2&search_source=home
10,BR2S00011ZP,BR2,Sales,"Seymour Drive, Bromley BR2",3 bed link detached house for sale,1,1,"£625,000","This beautiful 3 bedroom, 2 bathroom linked detached house is located in a quiet secluded road in Bromley Common within easy reach of Bromley town ...",Listed on 24th May 2023,Bromley Property Company,Zoopla,https://www.zoopla.co.uk/for-sale/property/br2/?q=BR2&search_source=home
11,BR2S00012ZP,BR2,Sales,"Chatterton Road, Bromley, Kent BR2",1 bed flat for sale,2,1,"£230,000",Capital Estate Agents are pleased to offer to the market this extremely well presented one bedroom flat (above commercial premises). Located in ...,Listed on 24th May 2023,Capital Sidcup,Zoopla,https://www.zoopla.co.uk/for-sale/property/br2/?q=BR2&search_source=home
